Datetime,Open,High,Low,Close
2025-11-20 20:30:00,26.84000015258789,26.889999389648438,26.53499984741211,26.690000534057617
2025-11-21 14:30:00,25.81999969482422,26.216999053955078,25.649999618530273,25.709999084472656
2025-11-21 15:30:00,26.100000381469727,26.190000534057617,25.219999313354492,25.6299991607666
2025-11-21 16:30:00,25.479999542236328,26.459999084472656,25.219999313354492,26.350000381469727
2025-11-21 17:30:00,26.059999465942383,26.459999084472656,25.600000381469727,25.90999984741211
2025-11-21 18:30:00,26.209999084472656,26.350000381469727,25.600000381469727,26.188899993896484
2025-11-21 19:30:00,26.190000534057617,26.27589988708496,25.534500122070312,25.549999237060547
2025-11-21 20:30:00,25.540000915527344,25.969999313354492,25.530000686645508,25.807100296020508
2025-11-24 14:30:00,26.530000686645508,26.84000015258789,26.25,26.604999542236328
2025-11-24 15:30:00,26.690000534057617,27.0,26.510000228881836,26.875
2025-11-24 16:30:00,26.850000381469727,27.4950008392334,26.790000915527344,27.476499557495117
2025-11-24 17:30:00,26.959999084472656,27.844999313354492,26.920000076293945,27.690000534057617
2025-11-24 18:30:00,27.719999313354492,28.09000015258789,27.614999771118164,28.030000686645508
2025-11-24 19:30:00,27.8700008392334,28.145000457763672,27.829999923706055,28.078800201416016
2025-11-24 20:30:00,28.06999969482422,28.145000457763672,27.829999923706055,28.020000457763672
2025-11-25 14:30:00,27.420000076293945,27.469999313354492,26.920000076293945,27.190000534057617
2025-11-25 15:30:00,27.165000915527344,27.610000610351562,26.920000076293945,27.610000610351562
2025-11-25 16:30:00,27.299999237060547,27.81999969482422,27.219999313354492,27.6299991607666
2025-11-25 17:30:00,27.600000381469727,27.889999389648438,27.520000457763672,27.790000915527344
2025-11-25 18:30:00,27.674999237060547,27.889999389648438,27.07029914855957,27.190000534057617
2025-11-25 19:30:00,27.540000915527344,27.700000762939453,27.07029914855957,27.6299991607666
2025-11-25 20:30:00,27.639999389648438,27.739999771118164,27.489999771118164,27.6200008392334
2025-11-26 14:30:00,27.669599533081055,27.78499984741211,27.389999389648438,27.684999465942383
2025-11-26 15:30:00,27.43000030517578,27.889999389648438,27.399999618530273,27.749900817871094
2025-11-26 16:30:00,27.59000015258789,28.084999084472656,27.579999923706055,28.040000915527344
2025-11-26 17:30:00,27.780000686645508,28.719999313354492,27.709999084472656,28.65999984741211
2025-11-26 18:30:00,28.549999237060547,28.719999313354492,28.420000076293945,28.54990005493164
2025-11-26 19:30:00,28.6200008392334,28.65999984741211,28.385000228881836,28.5049991607666
2025-11-26 20:30:00,28.5,28.600000381469727,28.3799991607666,28.549999237060547
2025-11-28 14:30:00,29.020000457763672,29.229999542236328,28.774999618530273,29.094999313354492
2025-11-28 15:30:00,28.940000534057617,29.174999237060547,28.540000915527344,28.579999923706055
2025-11-28 16:30:00,29.0,29.0,28.399999618530273,28.459999084472656
2025-11-28 17:30:00,28.540000915527344,28.594999313354492,28.399999618530273,28.56999969482422
2025-12-01 14:30:00,26.520000457763672,26.7189998626709,26.084999084472656,26.110000610351562
2025-12-01 15:30:00,26.579999923706055,26.59000015258789,25.645000457763672,25.790000915527344
2025-12-01 16:30:00,25.889999389648438,25.979999542236328,25.648500442504883,25.8799991607666
2025-12-01 17:30:00,25.75,26.010000228881836,25.725000381469727,25.940000534057617
2025-12-01 18:30:00,25.840099334716797,26.010000228881836,25.700000762939453,25.81999969482422
2025-12-01 19:30:00,25.93000030517578,26.114999771118164,25.760000228881836,25.934999465942383
2025-12-01 20:30:00,25.93000030517578,26.114999771118164,25.84000015258789,25.9950008392334
